Course Name,Access,Year Built,Rating,Number of Reviews,Pct Recommend,Club ID,Course ID,Full Address,Address,City,State,Zip,Address,City,State,St abbrv,Zip,Latitude,Longitude,Accuracy Score,Accuracy Type
Lake Forest Golf Club,Private,1969,3.3,142,65.00%,55,56,"1 Golf Terrace, Daphne, Alabama 36526, Baldwin County",1 Golf Terrace,Daphne,Alabama,36526,1 Golf Terrace,Daphne,Alabama,AL,36526,30.643891,-87.874178,1,rooftop
Magnolia/Dogwood at TimberCreek Golf Club,Semi-Private,1993,3.9,121,87.30%,56,57,"9650 Timbercreek Blvd, Daphne, Alabama 36527",9650 Timbercreek Blvd,Daphne,Alabama,36527,9650 Timbercreek Blvd,Daphne,Alabama,AL,36527,30.672656,-87.870442,1,rooftop
Pines/Magnolia at TimberCreek Golf Club,Semi-Private,1993,3.9,121,87.30%,57,58,"9650 Timbercreek Blvd, Daphne, Alabama 36527, Baldwin County",9650 Timbercreek Blvd,Daphne,Alabama,36527,9650 Timbercreek Blvd,Daphne,Alabama,AL,36527,30.672656,-87.870442,1,rooftop
Isle Dauphine Golf Club,Semi-Private,1962,1,,0%,58,59,"100 Orleans Dr, Dauphin Island, Alabama 36528, Mobile County",100 Orleans Dr,Dauphin Island,Alabama,36528,100 Orleans Dr,Dauphin Island,Alabama,AL,36528,30.247246,-88.116284,1,range_interpolation
Burningtree Country Club,Private,1964,,,0%,59,60,"2521 Burningtree Dr SE, Decatur, Alabama 35603, Morgan County",2521 Burningtree Dr SE,Decatur,Alabama,35603,2521 Burningtree Dr SE,Decatur,Alabama,AL,35603,34.518955,-86.931562,1,rooftop
Decatur Country Club,Private,1923,,,0%,60,61,"2401 Country Club Rd SE, Decatur, Alabama 35601, Morgan County",2401 Country Club Rd SE,Decatur,Alabama,35601,2401 Country Club Rd SE,Decatur,Alabama,AL,35601,34.567582,-86.969242,1,rooftop
Point Mallard Golf Course,Public,1969,5,1,100.00%,61,62,"2600A Point Mallard Pkwy SE, Decatur, Alabama 35601, Morgan County",2600A Point Mallard Pkwy SE,Decatur,Alabama,35601,2600A Point Mallard Pkwy SE,Decatur,Alabama,AL,35601,34.5451052,-86.9289433,0.9,ROOFTOP
Demopolis Country Club,Private,1958,,,0%,62,63,"1620 Country Club Dr, Demopolis, Alabama 36732, Marengo County",1620 Country Club Dr,Demopolis,Alabama,36732,1620 Country Club Dr,Demopolis,Alabama,AL,36732,32.5004418,-87.8595996,0.8,RANGE_INTERPOLATED
The Ravine Golf Course,Public/Municipal,1998,,,0%,63,64,"748 Sports-Plex Rd, Demopolis, Alabama 36742, Marengo County",748 Sports-Plex Rd,Demopolis,Alabama,36742,748 Sports-Plex Rd,Demopolis,Alabama,AL,36742,32.4880018,-87.795813,0.22,ROOFTOP
Dothan Country Club,Private,1923,5,1,100.00%,64,65,"200 S Cherokee Ave, Dothan, Alabama 36301, Houston County",200 S Cherokee Ave,Dothan,Alabama,36301,200 S Cherokee Ave,Dothan,Alabama,AL,36301,31.223752,-85.415538,1,rooftop
Dothan National Golf Club,Resort/Semi-Private,1968,3,14,78.60%,65,66,"7410 Hwy 231 S, Dothan, Alabama 36301, Houston County",7410 Hwy 231 S,Dothan,Alabama,36301,7410 Hwy 231 S,Dothan,Alabama,AL,36301,31.120709,-85.404495,1,range_interpolation
Green Hill Golf Course,Public,1990,,,0%,66,67,"2600 Campbellton Hwy, Dothan, Alabama 36301, Houston County",2600 Campbellton Hwy,Dothan,Alabama,36301,2600 Campbellton Hwy,Dothan,Alabama,AL,36301,31.161117,-85.426024,1,rooftop
Highlands/Marshwood at Highland Oaks Golf Course,Public,1993,4.7,16,98.90%,67,68,"904 Royal Pkwy, Dothan, Alabama 36305, Houston County",904 Royal Pkwy,Dothan,Alabama,36305,904 Royal Pkwy,Dothan,Alabama,AL,36305,31.2302714,-85.4979637,0.33,ROOFTOP
Kilgore's Roundabout Plantation Golf Course,Semi-Private,2000,,,0%,68,69,"321 Roundabout Dr , Cowarts, Alabama 36321, Houston County",321 Roundabout Dr,Cowarts,Alabama,36321,321 Roundabout Dr,Cowarts,Alabama,AL,36321,31.230141,-85.307691,1,rooftop
Magnolia/Highlands at Highland Oaks Golf Course,Public,1993,4.7,16,98.90%,69,70,"904 Royal Pkwy, Dothan, Alabama 36305, Houston County",904 Royal Pkwy,Dothan,Alabama,36305,904 Royal Pkwy,Dothan,Alabama,AL,36305,31.2302714,-85.4979637,0.33,ROOFTOP
Marshwood/Magnolia at Highland Oaks Golf Course,Public,1993,4.7,16,98.90%,69,71,"904 Royal Pkwy, Dothan, Alabama 36305, Houston County",904 Royal Pkwy,Dothan,Alabama,36305,904 Royal Pkwy,Dothan,Alabama,AL,36305,31.2302714,-85.4979637,0.33,ROOFTOP
Short at Highland Oaks Golf Course,Public,1993,4.7,16,98.90%,70,72,"904 Royal Pkwy, Dothan, Alabama 36305, Houston County,",904 Royal Pkwy,Dothan,Alabama,36305,904 Royal Pkwy,Dothan,Alabama,AL,36305,31.2302714,-85.4979637,0.33,ROOFTOP
High Point Golf Club,Public/Municipal,1974,,,0%,71,73,"4603 Golf way Dr, Eight Mile, Alabama 36613, Mobile County",4603 Golf way Dr,Eight Mile,Alabama,36613,4603 Golf way Dr,Eight Mile,Alabama,AL,36613,30.755781,-88.167836,1,range_interpolation
Elba Country Club,Private,1963,,,0%,72,74,"Taylor Mill Rd, Elba, Alabama 36323, Coffee County",Taylor Mill Rd,Elba,Alabama,36323,Taylor Mill Rd,Elba,Alabama,AL,36323,31.430254,-86.095252,1,street_center
Soldiers Creek Golf Club,Public,2001,3.4,164,63.40%,73,75,"12096 County Road 95, Elberta, AL 36530",12096 County Road 95,Elberta,Alabama,36530,12096 County Road 95,Elberta,Alabama,AL,36530,30.3932088,-87.5476487,0.33,GEOMETRIC_CENTER
Percy Marcum Golf Course,Public,1969,,,0%,74,76,"9621 Bagley Rd, Empire, Alabama 35063, Jefferson County",9621 Bagley Rd,Empire,Alabama,35063,9621 Bagley Rd,Empire,Alabama,AL,35063,33.78975,-86.95625,1,rooftop
Enterprise Country Club,Private,1960,3.5,2,100.00%,75,77,"3000 Ozark Hwy 27 No, Enterprise, Alabama 36330, Coffee County",3000 Ozark Hwy 27 No,Enterprise,Alabama,36330,3000 Ozark Hwy 27 No,Enterprise,Alabama,AL,36330,31.359763,-85.831915,1,range_interpolation
Country Club of Alabama,Semi-Private,1986,2.1,11,95.00%,76,78,"101 Merion Dr, Eufaula, Alabama 36027, Barbour County",101 Merion Dr,Eufaula,Alabama,36027,101 Merion Dr,Eufaula,Alabama,AL,36027,31.822039,-85.1548021,0.7,RANGE_INTERPOLATED
Eufaula Country Club,Private,1916,,,0%,77,79,"2650 Country Club Rd, Eufaula, Alabama 36027, Barbour County",2650 Country Club Rd,Eufaula,Alabama,36027,2650 Country Club Rd,Eufaula,Alabama,AL,36027,31.890095,-85.172503,1,range_interpolation
Evergreen Golf Club,Private,1930,,,0%,78,80,"18382 Highway 31, Evergreen, Alabama 36401, Conecuh County",18382 Highway 31,Evergreen,Alabama,36401,18382 Highway 31,Evergreen,Alabama,AL,36401,31.43993,-86.897541,1,range_interpolation
Quail Creek Golf Course,Public,1988,3.7,18,38.80%,79,81,"19841 Quail Creek Dr, Fairhope, Alabama 36532, Morgan County",19841 Quail Creek Dr,Fairhope,Alabama,36532,19841 Quail Creek Dr,Fairhope,Alabama,AL,36532,30.513439,-87.844103,1,range_interpolation
Rock Creek Golf Club,Semi-Private,1993,4.2,20,80.40%,80,82,"140 Clubhouse Dr, Fairhope, Alabama 36532",140 Clubhouse Dr,Fairhope,Alabama,36532,140 Clubhouse Dr,Fairhope,Alabama,AL,36532,30.571392,-87.88726,1,rooftop
Fayette Country Club,Private,1926,,,0%,81,83,"303 County Road 16, Fayette, Alabama 35555, Fayette County",303 County Road 16,Fayette,Alabama,35555,303 County Road 16,Fayette,Alabama,AL,35555,33.6827545,-87.8740093,0.33,ROOFTOP
Dogwood Hills Golf Club,Public/Resort,1977,4.4,85,93.70%,82,84,"26460 Alabama Hwy 71, Flat Rock, Alabama 35966, Jackson County",26460 Alabama Hwy 71,Flat Rock,Alabama,35966,26460 Alabama Hwy 71,Flat Rock,Alabama,AL,35966,34.821246,-85.660804,1,range_interpolation
Blackberry Trail Golf Course,Public/Municipal,2001,4.6,4,100.00%,83,85,"112 Clubhouse Dr, Florence, Alabama 35630, Lauderdale County",112 Clubhouse Dr,Florence,Alabama,35630,112 Clubhouse Dr,Florence,Alabama,AL,35630,34.8618704,-87.6304468,0.33,GEOMETRIC_CENTER
Glenlakes Golf Club - Lakes Course,Semi-Private,1994,4.4,641,95.40%,84,86,"9530 Clubhouse Dr, Foley, Alabama 36535, Baldwin County",9530 Clubhouse Dr,Foley,Alabama,36535,9530 Clubhouse Dr,Foley,Alabama,AL,36535,30.363416,-87.636719,1,rooftop
Glenlakes Golf Club - Vista/Dunes Course,Semi-Private,1984,4.4,641,95.40%,84,87,"9530 Clubhouse Dr, Foley, Alabama 36535, Baldwin County",9530 Clubhouse Dr,Foley,Alabama,36535,9530 Clubhouse Dr,Foley,Alabama,AL,36535,30.363416,-87.636719,1,rooftop
Gulf Links Golf Center,Public,1996,3.9,101,85.20%,85,88,"3901 S McKenzie St, Foley, Alabama 36535, Baldwin County",3901 S McKenzie St,Foley,Alabama,36535,3901 S McKenzie St,Foley,Alabama,AL,36535,30.36072,-87.682922,1,range_interpolation
Magnolia Springs Golf,Public,2000,4,1,100.00%,86,89,"10831 Magnolia Springs Hwy, Foley, Alabama 36535, Baldwin County",10831 Magnolia Springs Hwy,Foley,Alabama,36535,10831 Magnolia Springs Hwy,Foley,Alabama,AL,36535,30.382023,-87.768019,1,range_interpolation
Desoto Country Club,Private,1974,5,1,100.00%,87,90,"502 Crystal Lake Rd, Fort Payne, Alabama 35967, De Kalb County",502 Crystal Lake Rd,Fort Payne,Alabama,35967,502 Crystal Lake Rd,Fort Payne,Alabama,AL,35967,34.4625204,-85.6923914,0.6,ROOFTOP
Terrapin Hills Country Club,Private,1970,4.1,6,85.30%,88,91,"5501 Club Dr NW, Fort Payne, Alabama 35967, De Kalb County",5501 Club Dr NW,Fort Payne,Alabama,35967,5501 Club Dr NW,Fort Payne,Alabama,AL,35967,34.512995,-85.686447,1,range_interpolation
Blue/Red at Silver Wings Golf Course,Military,1965,3.7,21,89.90%,89,92,"Bldg 20067, Fort Rucker, Alabama 36362, Dale County",Bldg 20067,Fort Rucker,Alabama,36362,Bldg 20067,Fort Rucker,Alabama,AL,36362,31.327347,-85.737811,1,place
Red/White at Silver Wings Golf Course,Military,1991,3.7,21,89.90%,89,93,"Bldg 20067, Fort Rucker, Alabama 36362, Dale County",Bldg 20067,Fort Rucker,Alabama,36362,Bldg 20067,Fort Rucker,Alabama,AL,36362,31.327347,-85.737811,1,place
White/Blue at Silver Wings Golf Course,Military,1965,3.7,21,89.90%,89,94,"Bldg 20067, Fort Rucker, Alabama 36362, Dale County",Bldg 20067,Fort Rucker,Alabama,36362,Bldg 20067,Fort Rucker,Alabama,AL,36362,31.327347,-85.737811,1,place
Gadsden Country Club,Private,1919,4,2,100.00%,90,95,"1884 Rainbow Dr, Gadsden, Alabama 35901, Etowah County",1884 Rainbow Dr,Gadsden,Alabama,35901,1884 Rainbow Dr,Gadsden,Alabama,AL,35901,33.975839,-86.013212,1,range_interpolation
Twin Bridges Golf Club,Public,2002,4.3,87,96.10%,91,96,"901 Riverbend Dr, Gadsden, Alabama 35901, Etowah County",901 Riverbend Dr,Gadsden,Alabama,35901,901 Riverbend Dr,Gadsden,Alabama,AL,35901,34.022081,-85.982646,1,rooftop
Castle Pines Country Club,Semi-Private,1962,,,0%,92,97,"1600 Quail Ridge Dr, Gardendale, Alabama 35071, Jefferson County",1600 Quail Ridge Dr,Gardendale,Alabama,35071,1600 Quail Ridge Dr,Gardendale,Alabama,AL,35071,33.662989,-86.783165,1,rooftop
River Oaks Golf Course,Public,1991,4,2,100.00%,93,98,"203 River Oaks Rd, Geneva, Alabama 36340",203 River Oaks Rd,Geneva,Alabama,36340,203 River Oaks Rd,Geneva,Alabama,AL,36340,31.0260079,-85.8576752,0.33,GEOMETRIC_CENTER
Backbreaker/Mindbreaker at Silver Lakes,Public,1993,4.8,24,99.30%,94,99,"1 Sunbelt Pkwy, Glencoe, Alabama 35905",1 Sunbelt Pkwy,Glencoe,Alabama,35905,1 Sunbelt Pkwy,Glencoe,Alabama,AL,35905,33.882437,-85.926896,1,rooftop
