Course Name,Address,Access,Year Built,Rating,Number of Reviews,Pct Recommend
Southern Gayles Golf Course,"22230 Mooresville Rd, Athens, Alabama 35613, Limestone County",Public,1995,3.4,9 out of 11 reviews,83.30%
Atmore Country Club,"4474 Hwy 31 S, Atmore, Alabama 36502, Escambia County",Private,1923,4,1 out of 1 reviews,100.00%
Wills Creek Country Club,"216 Country Club Rd, Attalla, Alabama 35954, Etowah County",Semi-Private,1965,,,0%
Auburn Links at Mill Creek,"826 Shell Toomer Pkwy, Auburn, Alabama 36831",Public,1992,1.3,10 out of 14 reviews,12.80%
Auburn University Golf Club,"1650 Yarbrough Farms Blvd., Auburn, Alabama 36830, Lee County",Private,1999,4,1 out of 1 reviews,100.00%
Indian Pines Golf Course,"900 Country Club Ln, Auburn, Alabama 36830, Lee County",Municipal,1946,3.9,21 out of 22 reviews,95.50%
Moore's Mill Golf Club,"1957 Fairway Drive, Auburn, AL 36830",Private,2000,,,0%
The Greens At Auburn,"4315 Golf Club Drive, Auburn, AL 36830",Public,2010,4,7 out of 7 reviews,100.00%
Holly Hills Country Club,"38600 Country Club Dr., Bay Minette, Alabama 36507, Baldwin County",Private,1968,4.1,9 out of 9 reviews,100.00%
Brook/Graveyard at Bent Brook Golf Course,"7900 Dickey Springs Rd, Bessemer, Alabama 35022, Jefferson County",Public,1988,3.1,4 out of 4 reviews,100.00%
Frank House Municipal Golf Course,"801 Golf Course Rd, Bessemer, Alabama 35022, Jefferson County",Public/Municipal,1972,4.2,2 out of 2 reviews,100.00%
Graveyard/Windmill at Bent Brook Golf Course,"7900 Dickey Springs Rd, Bessemer, Alabama 35022, Jefferson County",Public,1988,3.1,4 out of 4 reviews,100.00%
Windmill/Brook at Bent Brook Golf Course,"7900 Dickey Springs Rd, Bessemer, Alabama 35022, Jefferson County",Public,1988,3.1,4 out of 4 reviews,100.00%
Woodward Golf Club,"2141 Wheel Dr, Bessemer, Alabama 35020, Jefferson County",Private,1916,3.7,3 out of 3 reviews,100.00%
Clear Creek Golf Club,"1715 Alabama Hwy 205 S, Boaz, Alabama 35957, Marshall County",Public,1948,3.4,20 out of 26 reviews,77.50%
Country Club of Brewton,"700 Club House Dr, Brewton, Alabama 36426, Escambia County",Semi-Private,1997,4.7,32 out of 34 reviews,94.10%
Dogwood Hills Golf Course,"2835 Douglas Ave, Brewton, AL 36426",Municipal,1937,4,1 out of 1 reviews,100.00%
Brundidge Country Club,"Springhill Hwy, Brundidge, Alabama 36010, Pike County",Private,1965,,,0%
Hidden Valley Golf Course,"607 County Rd 393, Bryant, Alabama 35958, Jackson County",Public,1985,,,0%
Choctaw Country Club,"Country Club Dr, Butler, Alabama 36904, Choctaw County",Private,1963,,,0%
Timberline Golf Club,"300 Timberline Trail, Calera, Alabama 35040",Semi-Private,2002,4.1,7 out of 8 reviews,85.30%
Deer Haven Golf Club at Roland Cooper State Park,"285 Deer Run Rd, Camden, Alabama 36726, Wilcox County",Public,1972,,,0%
Cherokee Country Club,"270 County Rd 382, Centre, Alabama 35960, Cherokee County",Semi-Private,1969,,,0%
Cahaba Falls Country Club,"530 2nd St N, Centreville, Alabama 35042, Bibb County",Semi-Private,1966,,,0%
Deerfield Golf Club,"16461 Saint Stephens Ave, Chatom, Alabama 36518, Washington County",Semi-Private,1993,2.5,2 out of 2 reviews,100.00%
Deer Valley Links Golf Course,"246 Cain Rd, Chelsea, Alabama 35043, Shelby County",Public,2006,,,0%
Mill Creek Golf Course,"18350 Lakeview Dr, Citronelle, Alabama 36522, Mobile County",Public/Municipal,1975,4,1 out of 1 reviews,100.00%
Clanton Country Club,"1 Country Club Rd, Clanton, Alabama 35046, Chilton County",Semi-Private,1935,,,0%
Magnolia Meadows Golf Course,"315 Highway 47 S, Columbiana AL 35051",Public,2001,5,1 out of 1 reviews,100.00%
Coosa Pines Golf Club,"16615 Plant Rd, Coosa Pines, Alabama 35044, Talladega County",Private,1952,1.9,2 out of 3 reviews,28.60%
Horse Creek Golf Course,"1745 Highway 78 , Dora, AL 35062",Municipal,2000,4.6,5 out of 5 reviews,100.00%
Chesley Oaks Golf Club,"1035 County Rd 1583, Cullman, Alabama 35058, Cullman County",Public,1996,,,0%
Terri Pines Country Club,"700 Pine Hill Dr, Cullman, Alabama 35057, Cullman County",Private,1980,4.2,48 out of 50 reviews,93.50%
StillWaters Golf Club - The Highlands Course,"797 Moonbrook Dr, Dadeville, Alabama 36853, Tallapoosa County",Resort,1997,3.9,12 out of 13 reviews,93.10%
Dogwood/Pines at TimberCreek Golf Club,"9650 Timbercreek Blvd, Daphne, Alabama 36527, Baldwin County",Semi-Private,1993,3.9,107 out of 121 reviews,87.30%
Lake Forest Golf Club,"1 Golf Terrace, Daphne, Alabama 36526, Baldwin County",Private,1969,3.3,116 out of 142 reviews,65.00%
Magnolia/Dogwood at TimberCreek Golf Club,"9650 Timbercreek Blvd, Daphne, Alabama 36527",Semi-Private,1993,3.9,107 out of 121 reviews,87.30%
Pines/Magnolia at TimberCreek Golf Club,"9650 Timbercreek Blvd, Daphne, Alabama 36527, Baldwin County",Semi-Private,1993,3.9,107 out of 121 reviews,87.30%
Isle Dauphine Golf Club,"100 Orleans Dr, Dauphin Island, Alabama 36528, Mobile County",Semi-Private,1962,1,2 reviews,0%
Burningtree Country Club,"2521 Burningtree Dr SE, Decatur, Alabama 35603, Morgan County",Private,1964,,,0%
Decatur Country Club,"2401 Country Club Rd SE, Decatur, Alabama 35601, Morgan County",Private,1923,,,0%
Point Mallard Golf Course,"2600A Point Mallard Pkwy SE, Decatur, Alabama 35601, Morgan County",Public,1969,5,1 out of 1 reviews,100.00%
Demopolis Country Club,"1620 Country Club Dr, Demopolis, Alabama 36732, Marengo County",Private,1958,,,0%
The Ravine Golf Course,"748 Sports-Plex Rd, Demopolis, Alabama 36742, Marengo County",Public/Municipal,1998,,,0%
Dothan Country Club,"200 S Cherokee Ave, Dothan, Alabama 36301, Houston County",Private,1923,5,1 out of 1 reviews,100.00%
Dothan National Golf Club,"7410 Hwy 231 S, Dothan, Alabama 36301, Houston County",Resort/Semi-Private,1968,3,11 out of 14 reviews,78.60%
Green Hill Golf Course,"2600 Campbellton Hwy, Dothan, Alabama 36301, Houston County",Public,1990,,,0%
Highlands/Marshwood at Highland Oaks Golf Course,"904 Royal Pkwy, Dothan, Alabama 36305, Houston County",Public,1993,4.7,15 out of 16 reviews,98.90%
Kilgore's Roundabout Plantation Golf Course,"321 Roundabout Dr , Cowarts, Alabama 36321, Houston County",Semi-Private,2000,,,0%
Magnolia/Highlands at Highland Oaks Golf Course,"904 Royal Pkwy, Dothan, Alabama 36305, Houston County",Public,1993,4.7,15 out of 16 reviews,98.90%
Marshwood/Magnolia at Highland Oaks Golf Course,"904 Royal Pkwy, Dothan, Alabama 36305, Houston County",Public,1993,4.7,15 out of 16 reviews,98.90%
Short at Highland Oaks Golf Course,"904 Royal Pkwy, Dothan, Alabama 36305, Houston County,",Public,1993,4.7,15 out of 16 reviews,98.90%
High Point Golf Club,"4603 Golf way Dr, Eight Mile, Alabama 36613, Mobile County",Public/Municipal,1974,,,0%
Elba Country Club,"Taylor Mill Rd, Elba, Alabama 36323, Coffee County",Private,1963,,,0%
Soldiers Creek Golf Club,"12096 County Road 95, Elberta, AL 36530",Public,2001,3.4,123 out of 164 reviews,63.40%
Percy Marcum Golf Course,"9621 Bagley Rd, Empire, Alabama 35063, Jefferson County",Public,1969,,,0%
Enterprise Country Club,"3000 Ozark Hwy 27 No, Enterprise, Alabama 36330, Coffee County",Private,1960,3.5,2 out of 2 reviews,100.00%
Country Club of Alabama,"101 Merion Dr, Eufaula, Alabama 36027, Barbour County",Semi-Private,1986,2.1,8 out of 11 reviews,95.00%
Eufaula Country Club,"2650 Country Club Rd, Eufaula, Alabama 36027, Barbour County",Private,1916,,,0%
Evergreen Golf Club,"18382 Highway 31, Evergreen, Alabama 36401, Conecuh County",Private,1930,,,0%
Quail Creek Golf Course,"19841 Quail Creek Dr, Fairhope, Alabama 36532, Morgan County",Public,1988,3.7,13 out of 18 reviews,38.80%
Rock Creek Golf Club,"140 Clubhouse Dr, Fairhope, Alabama 36532",Semi-Private,1993,4.2,18 out of 20 reviews,80.40%
Fayette Country Club,"303 County Road 16, Fayette, Alabama 35555, Fayette County",Private,1926,,,0%
Dogwood Hills Golf Club,"26460 Alabama Hwy 71, Flat Rock, Alabama 35966, Jackson County",Public/Resort,1977,4.4,82 out of 85 reviews,93.70%
Blackberry Trail Golf Course,"112 Clubhouse Dr, Florence, Alabama 35630, Lauderdale County",Public/Municipal,2001,4.6,4 out of 4 reviews,100.00%
Glenlakes Golf Club - Lakes Course,"9530 Clubhouse Dr, Foley, Alabama 36535, Baldwin County",Semi-Private,1994,4.4,599 out of 641 reviews,95.40%
Glenlakes Golf Club - Vista/Dunes Course,"9530 Clubhouse Dr, Foley, Alabama 36535, Baldwin County",Semi-Private,1984,4.4,599 out of 641 reviews,95.40%
Gulf Links Golf Center,"3901 S McKenzie St, Foley, Alabama 36535, Baldwin County",Public,1996,3.9,73 out of 101 reviews,85.20%
Magnolia Springs Golf,"10831 Magnolia Springs Hwy, Foley, Alabama 36535, Baldwin County",Public,2000,4,1 out of 1 reviews,100.00%
Desoto Country Club,"502 Crystal Lake Rd, Fort Payne, Alabama 35967, De Kalb County",Private,1974,5,1 out of 1 reviews,100.00%
Terrapin Hills Country Club,"5501 Club Dr NW, Fort Payne, Alabama 35967, De Kalb County",Private,1970,4.1,5 out of 6 reviews,85.30%
Blue/Red at Silver Wings Golf Course,"Bldg 20067, Fort Rucker, Alabama 36362, Dale County",Military,1965,3.7,15 out of 21 reviews,89.90%
Red/White at Silver Wings Golf Course,"Bldg 20067, Fort Rucker, Alabama 36362, Dale County",Military,1991,3.7,15 out of 21 reviews,89.90%
White/Blue at Silver Wings Golf Course,"Bldg 20067, Fort Rucker, Alabama 36362, Dale County",Military,1965,3.7,15 out of 21 reviews,89.90%
Gadsden Country Club,"1884 Rainbow Dr, Gadsden, Alabama 35901, Etowah County",Private,1919,4,2 out of 2 reviews,100.00%
Twin Bridges Golf Club,"901 Riverbend Dr, Gadsden, Alabama 35901, Etowah County",Public,2002,4.3,80 out of 87 reviews,96.10%
Castle Pines Country Club,"1600 Quail Ridge Dr, Gardendale, Alabama 35071, Jefferson County",Semi-Private,1962,,,0%
River Oaks Golf Course,"203 River Oaks Rd, Geneva, Alabama 36340",Public,1991,4,2 out of 2 reviews,100.00%
Backbreaker/Mindbreaker at Silver Lakes,"1 Sunbelt Pkwy, Glencoe, Alabama 35905",Public,1993,4.8,23 out of 24 reviews,99.30%
Heartbreaker/Backbreaker at Silver Lakes,"1 Sunbelt Pkwy, Glencoe, Alabama 35905, Calhoun County",Public,1993,4.8,23 out of 24 reviews,99.30%
Links at Briarmeade,"505 Ralph Ave, Glencoe, Alabama 35905, Etowah County",Semi-Private,1936,3.5,7 out of 10 reviews,70.00%
Mindbreaker/Heartbreaker at Silver Lakes,"1 Sunbelt Pkwy, Glencoe, Alabama 35905, Calhoun County",Public,1993,4.8,23 out of 24 reviews,99.30%
Short at Silver Lakes,"1 Sunbelt Pkwy, Glencoe, Alabama 35905, Calhoun County",Public,1993,4.8,23 out of 24 reviews,99.30%
Hatchett Creek Golf Club,"CR-66, Goodwater, Alabama 35072, Coosa County",Semi-Private,1967,,,0%
Blue/Red at Mountain View Golf Course,"3200 Mountain View Dr, Graysville, Alabama 35073, Jefferson County",Public,1994,3.7,13 out of 18 reviews,91.60%
Red/White at Mountain View Golf Course,"3200 Mountain View Dr, Graysville, Alabama 35073, Jefferson County",Public,1991,3.7,13 out of 18 reviews,91.60%
White/Blue at Mountain View Golf Course,"3200 Mountain View Dr, Graysville, Alabama 35073, Jefferson County",Public,1994,3.7,13 out of 18 reviews,91.60%
Lakeview Country Club,"Millwood Rd, Greensboro, Alabama 36744, Hale County",Private,1965,,,0%
Canyon/Loblolly at Cambrian Ridge,"101 Sunbelt Pkwy, Greenville, Alabama 36037, Butler County",Public,1993,4.8,22 out of 22 reviews,100.00%
Greenville Country Club,"902 Fort Dale Rd, Greenville, Alabama 36037, Butler County",Private,1930,,,0%
Loblolly/Sherling at Cambrian Ridge,"101 Sunbelt Pkwy, Greenville, Alabama 36037, Butler County",Public,1993,4.8,22 out of 22 reviews,100.00%
Sherling/Canyon at Cambrian Ridge,"101 Sunbelt Pkwy, Greenville, Alabama 36037, Butler County",Public,1993,4.8,22 out of 22 reviews,100.00%
Short at Cambrian Ridge,"101 Sunbelt Pkwy, Greenville, Alabama 36037, Butler County",Public,1993,4.8,22 out of 22 reviews,100.00%
Pikeville Country Club,"1310 Country Club Rd, Guin, Alabama 35563, Marion County",Private,1960,,,0%
Eagle's Nest Golf Course at Lake Guntersville State Park,"2060 Aubrey Carr Scenic Dr, Guntersville, Alabama 35976, Marshall County",Resort,1972,4.3,35 out of 38 reviews,97.50%
Gunter's Landing Golf Club,"1000 Gunter's Landing Rd, Guntersville, Alabama 35976, Marshall County",Semi-Private,1992,4.8,153 out of 155 reviews,98.00%
Stoney Mountain Golf Club,"5200 Georgia Mountain Rd, Guntersville, Alabama 35976, Marshall County",Public,1977,2.1,8 out of 13 reviews,43.80%
Haleyville Country Club,"1331 Airport Rd, Haleyville, Alabama 35565, Winston County",Private,1954,,,0%
Cross Creek Golf Course,"2321 County Rd 490, Hanceville, Alabama 35077, Cullman County",Public,1950,3.9,11 out of 12 reviews,89.60%
QC Golf & RV,"233 Quail Creek Dr, Hartselle, Alabama 35640, Morgan County",Public/Resort,1993,4,3 out of 3 reviews,100.00%
Plantation Golf Club,"11900 State Highway 160, Hayden, Alabama 35079",Public,1999,,,0%
Headland Country Club,"4175 State Hwy 134 E, Headland, Alabama",Semi-Private,1961,,,0%
Silver Ridge Golf Club,"195 Golf Club Dr, Horton, Alabama 35980, Marshall County",Public,1990,4,1 out of 1 reviews,100.00%
Silver King Golf Club,"7960 Edgar Roberts Rd, Irvington, Alabama 36544, Mobile County",Semi-Private,1950,,,0%
Jackson Links Golf Course,"Pierce Memorial Park, Jackson, Alabama 36545",Public/Municipal,1957,,,0%
Lakewinds Golf Course,"95 County Rd 40, Jacksons Gap, Alabama 36861, Tallapoosa County",Public,1966,4,6 out of 6 reviews,100.00%
Musgrove Country Club,"916 Country Club Rd, Jasper, Alabama 35503, Walker County",Private,1932,,,0%
Turtle Point Yacht & Country Club,"1000 Club Dr, Killen, Alabama 35645, Lauderdale County",Private,1961,,,0%
Lakeview Country Club,"21026 Agnes Dr, Lake View, Alabama 35111, Tuscaloosa County",Public,1978,1.2,6 out of 12 reviews,7.80%
Point University Golf Club,"2001 Country Club Rd, Lanett, Alabama 36863, Chambers County",Public,1954,3,1 out of 1 reviews,100.00%
Linden Country Club,"Hwy 28 E, Linden, Alabama 36748, Marengo County",Private,1968,,,0%
Livingston Country Club,"105 Country Club Rd, Livingston, Alabama 35470, Sumter County",Private,1968,,,0%
Steelwood,"31925 Steelwood Ridge Rd, Loxley, Alabama 36551, Baldwin County",Private,1997,5,1 out of 1 reviews,100.00%
Crenshaw County Recreational Club,"265 Mount Ida Highway, Luverne, Alabama 36049, Crenshaw County",Private,1965,5,2 out of 2 reviews,100.00%
Marion Military Institute Golf Course,"Fairway Dr, Marion, Alabama 36756, Perry County",Semi-Private,1962,3,1 out of 1 reviews,100.00%
East at Cypress Tree Golf Course,"1461 March Rd Bldg1461, Maxwell AFB, Alabama 36112, Montgomery County",Military,1932,,,0%
West at Cypress Tree Golf Course,"1461 March Rd Bldg1461, Maxwell AFB, Alabama 36112, Montgomery County",Military,1957,,,0%
Lil'Mole Run Golf Course,"741 County Road 647, Mentone, Alabama 35984",Public,1999,4,1 out of 1 reviews,100.00%
Saddle Rock Golf Course,"721 County Road 614, Mentone, Alabama 35984",Public/Resort,1997,,,0%
Colonial Golf Course,"400 Colonial Dr, Meridianville, Alabama 35759, Madison County",Public,1964,4.2,107 out of 117 reviews,95.10%
Fox Run Golf Course,"870 McCollum Rd, Meridianville, Alabama 35759, Madison County",Public,1997,3.1,2 out of 4 reviews,64.70%
Pines Golf Course,"307 Deatsville Hwy, Millbrook, Alabama 36054, Elmore County",Municipal,1991,,,0%
Vanity Fair Golf & Tennis Club,"613 Golf Dr, Monroeville, Alabama 36460, Monroe County",Private,1974,,,0%
Montevallo Golf Club,"1481 Shelby County Hwy 204, Montevallo, Alabama 35115, Shelby County",Semi-Private,1955,3,9 out of 13 reviews,67.60%
Green Briar Golf Course,"1130 Morris Majestic Rd, Morris, Alabama 35116, Jefferson County",Public,1990,2.2,5 out of 8 reviews,46.10%
Deer Run Golf Course,"1175 County Rd 100, Moulton, Alabama 35650, Lawrence County",Public/Municipal,1980,,,0%
Cypress Lakes Golf & Country Club,"1311 E 6th St, Muscle Shoals, Alabama 35661, Colbert County",Semi-Private,1991,4,2 out of 2 reviews,100.00%
The Shoals Golf Club - Fighting Joe Course,"990 Sunbelt Pkwy, Muscle Shoals, Alabama 35661, Colbert County",Public,2004,4.6,22 out of 25 reviews,97.50%
The Shoals Golf Club - Schoolmaster Course,"990 Sunbelt Pkwy, Muscle Shoals, Alabama 35661, Colbert County",Public,2005,4.6,22 out of 25 reviews,97.50%
Hidden Meadows Golf Course,"13000 Old Cove Rd, Northport, Alabama 35473, Tuscaloosa County",Semi-Private,1996,,,0%
Heritage Golf Course,"1364 Heritage Rd, Oneonta, Alabama 35121, Blount County",Public,1986,4,3 out of 3 reviews,100.00%
Limestone Springs Golf Club,"3000 Colonial Dr, Oneonta, Alabama 35121, Blount County",Semi-Private,1999,3.3,47 out of 50 reviews,73.30%
Whispering Pines Golf Course,"765 Morton Rd, Oneonta, Alabama 35121, Blount County",Public,1994,,,0%
Saugahatchee Country Club,"3800 Bent Creek Rd, Opelika, Alabama 36804, Lee County",Private,1977,4,2 out of 2 reviews,100.00%
The Lake at Grand National Golf Course,"3000 Robert Trent Jones Trl, Opelika, Alabama 36801, Lee County",Public,1992,4.8,52 out of 57 reviews,98.60%
The Links at Grand National Golf Course,"3000 Robert Trent Jones Trl, Opelika, Alabama 36801, Lee County",Public,1993,4.8,52 out of 57 reviews,98.60%
The Short at Grand National Golf Course,"3000 Robert Trent Jones Trl, Opelika, Alabama 36801, Lee County",Public,1993,4.8,52 out of 57 reviews,98.60%
Opp Country Club,"Andalusia Hwy, Opp, Alabama 36467, Covington County",Private,0,,,0%
Orange Beach Golf Center,"4700 Easy St, Orange Beach, Alabama 36561, Baldwin County",Public,1995,,,0%
Highlands at Hampton Cove Golf Course,"450 Old Hwy 431 S, Owens Cross Roads, Alabama 35763",Public,1992,4.8,21 out of 25 reviews,97.40%
River at Hampton Cove Golf Course,"450 Old Hwy 431 S, Owens Cross Roads, Alabama 35763,",Public,1993,4.8,21 out of 25 reviews,97.40%
Short at Hampton Cove Golf Course,"450 Old Hwy 431 S, Owens Cross Roads, Alabama 35763",Public,1992,4.8,21 out of 25 reviews,97.40%
Cider Ridge Golf Club,"200 Apple Blossom Way, Oxford, Alabama 36203, Calhoun County",Public,2002,4.6,125 out of 128 reviews,94.80%
Fox Ridge Golf Course,"815 Country Club Dr, Ozark, Alabama 36360, Dale County",Semi-Private,1972,3,1 out of 1 reviews,100.00%
Ballantrae Golf Club,"1300 Ballantrae Club Dr, Pelham, Alabama 35124, Shelby County",Municipal,2004,3.8,11 out of 13 reviews,79.00%
Oaks Golf Club at Oak Mountain State Park,"200 Terrace Drive, Pelham, Alabama 35124, Shelby County",Public,1973,3.4,57 out of 63 reviews,69.50%
Pell City Country Club,"2021 Golf Course Rd, Pell City, Alabama 35128, Saint Clair County",Private,1961,,,0%
Lakewood Golf Course,"2800 Lakewood Dr, Phenix City, Alabama 36867, Russell County",Public/Municipal,1962,3.5,2 out of 4 reviews,50.00%
Cumberland Lake Golf Course,"2150 Cumberland Lake Dr, Pinson, Alabama 35126, Jefferson County",Semi-Private,1968,4.2,36 out of 39 reviews,96.70%
Azalea at Marriott's Grand Hotel & Lakewood Golf Club,"1 Grand Blvd, Point Clear, Alabama 36564, Baldwin County",Resort,1947,4.7,5 out of 5 reviews,100.00%
Dogwood at Marriott's Grand Hotel & Lakewood Golf Club,"1 Grand Blvd, Point Clear, Alabama 36564, Baldwin County",Resort,1947,4.7,5 out of 5 reviews,100.00%
Capitol Hill Golf Club - Judge Course,"2600 Constitution Ave, Prattville, Alabama 36066, Autauga County",Public,2000,4.7,63 out of 66 reviews,96.50%
Capitol Hill Golf Club - Legislator Course,"2600 Constitution Ave, Prattville, Alabama 36066, Autauga County",Public,1999,4.7,63 out of 66 reviews,96.50%
Capitol Hill Golf Club - Senator Course,"2600 Constitution Ave, Prattville, Alabama 36066, Autauga County",Public,1999,4.7,63 out of 66 reviews,96.50%
Prattville Country Club,"732 Highway 82 Byp W, Prattville, Alabama 36067, Autauga County",Private,1965,4.3,6 out of 6 reviews,100.00%
Rainsville Golf & Country Club,"Hwy 35, Rainsville, Alabama 35986, De Kalb County",Semi-Private,1969,,,0%
Redmont Country Club,"1400 Redmont Dr NW, Red Bay, Alabama 35582, Franklin County",Semi-Private,1964,,,0%
The Links at Redstone - Patriot Course,"4140 Goss Road, Huntsville, AL 35898",Military,1959,3,1 out of 2 reviews,50.00%
The Links at Redstone - Warrior Course,"4140 Goss Road, Huntsville, AL 35898",Military,1996,3,1 out of 2 reviews,50.00%
Knolls Country Club,"Old Hwy 82, Reform, Alabama 35481, Pickens County",Private,0,,,0%
Roanoke Country Club,"1172 Country Club Rd, Roanoke, Alabama 36274, Randolph County",Semi-Private,1961,3.5,2 out of 2 reviews,100.00%
The General Golf Course at Joe Wheeler State Park,"4401 McLean Drive, Rogersville, Alabama 35652, Lauderdale County",Public,1974,3.4,28 out of 32 reviews,92.80%
Twin Pines Country Club,"1855 Country Club Dr, Russellville, Alabama 35654, Colbert County",Semi-Private,1960,4.6,13 out of 13 reviews,100.00%
Broken Arrow Golf Course,"399 Broken Arrow DR., Scottsboro, AL 35769",Public,2002,,,0%
Goose Pond Colony Resort - Lake Course,"417 Ed Hembree Dr, Scottsboro, Alabama 35769, Jackson County",Public,1971,4.5,92 out of 95 reviews,94.70%
Goose Pond Colony Resort - Plantation Course,"67 Plantation Pointe Road, Scottsboro, AL 35768, Jackson County",Public,1994,4.4,85 out of 86 reviews,99.70%
Scottsboro Golf & Country Club,"Guntersville Hwy, Scottsboro, Alabama 35768, Jackson County",Private,1948,,,0%
Craig Golf Course,"262 Craig Industrial Park, Selma, Alabama 36702, Dallas County",Public,1955,3,1 out of 2 reviews,50.00%
Selma Country Club,"103 W Dallas Ave, Selma, Alabama 36701, Dallas County",Private,1903,,,0%
Oak Hill Country Club,"101 Country Club Rd, Sulligent, Alabama 35586",Private,1971,,,0%
FarmLinks at Pursell Farms,"386 Talladega Springs Rd., Sylacauga, Alabama 35151, Talladega County",Public/Resort,2003,4.9,99 out of 100 reviews,99.80%
Sylacauga Country Club,"1 Fairway Dr, Sylacauga, Alabama 35150, Talladega County",Private,1961,,,0%
Talladega Municipal Golf,"65230 AL Highway 77, Talladega, Alabama 35160, Talladega County",Public,0,,,0%
Timber Ridge Golf Club,"101 Ironaton Rd, Talladega, Alabama 35160, Talladega County",Semi-Private,1989,3.3,5 out of 7 reviews,71.40%
Meadowlake Golf Course,"8350 Theodore Dawes Rd W, Theodore, Alabama 36582, Mobile County",Public,2006,,,0%
Pineview Country Club,"Linwood Dr, Thomasville, Alabama 36784, Clarke County",Private,0,,,0%
Trojan Oaks Golf Course,"Troy State University, Troy, Alabama 36082, Pike County",Public,1977,,,0%
Troy Country Club,"1 Club Rd, Troy, Alabama 36081, Pike County",Private,0,,,0%
Trussville Country Club,"7905 Roper Rd, Trussville, Alabama 35173, Jefferson County",Semi-Private,1967,2.5,8 out of 8 reviews,100.00%
Indian Hills Country Club,"1650 Hwy 82, Tuscaloosa, Alabama 35406, Tuscaloosa County",Private,1976,4.5,2 out of 2 reviews,100.00%
Northriver Yacht Club,"3100 Yacht Club Way NE, Tuscaloosa, Alabama 35404, Tuscaloosa County",Private,1978,4,1 out of 1 reviews,100.00%
Ol' Colony Golf Complex,"401 Old Colony Rd, Tuscaloosa, Alabama 35406, Tuscaloosa County",Municipal,2000,4.3,6 out of 7 reviews,90.20%
Tall Pines Golf Course,"5604 Woodland Forrest Dr, Tuscaloosa, Alabama 35405, Tuscaloosa County",Public,1974,,,0%
The Links At Tuscaloosa,"5700 18th Ave, Tuscaloosa, Alabama 35405, Tuscaloosa County",Public,1963,4,16 out of 19 reviews,81.10%
Spring Creek Golf Course,"800 Woodmont Dr, Tuscumbia, Alabama 35674, Colbert County",Public,0,,,0%
Tennessee Valley Country Club,"101 W Maple St, Tuscumbia, Alabama 35674, Colbert County",Private,1926,,,0%
Cherokee Ridge Country Club,"4000 Cherokee Ridge Dr, Union Grove, Alabama 35175, Marshall County",Semi-Private/Resort,1992,4.2,132 out of 144 reviews,89.20%
Union Springs Country Club,"Hill & Dale Dr, Union Springs, Alabama 36089, Bullock County",Private,1973,,,0%
Rolling Hills Golf Course,"9565 Lee Road 279, Valley, Alabama 36854, Lee County",Public,1994,1,1 reviews,0%
