Club ID,Formatted Address,Address,Lat,Lng,Precisions
260,"5810 N Robson Blvd, Eloy, Arizona, 85231","5810 W Robson Blvd, Eloy, AZ 85131, USA",32.8149107,-111.6398068,RANGE_INTERPOLATED
261,"1855 Continental Dr, Flagstaff, Arizona, 86004","1855 N Continental Dr, Flagstaff, AZ 86004, USA",35.198435,-111.590679,ROOFTOP
262,"2425 William Palmer, Flagstaff, Arizona, 86005","2425 William Palmer, Flagstaff, AZ 86001, USA",35.1036267,-111.7046199,ROOFTOP
265,"2425 William Palmer, Flagstaff, Arizona, 86005","2425 William Palmer, Flagstaff, AZ 86001, USA",35.1036267,-111.7046199,ROOFTOP
268,"3841 N Florence Blvd, Florence, Arizona, 85232","3841 N Florence Blvd, Florence, AZ 85132, USA",33.0723408,-111.3790679,RANGE_INTERPOLATED
270,"6100 W Merrill Ranch Pkwy, Florence, Arizona, 85232","6100 Merrill Ranch Pkwy, Florence, AZ 85132, USA",33.067137,-111.4616376,ROOFTOP
272,"5835 Desert Lakes Dr, Fort Mohave, Arizona, 86426","5835 Desert Lakes Dr, Fort Mohave, AZ 86426, USA",34.9864206,-114.5849641,ROOFTOP
275,"14915 E Eagle Mountain Pkwy, Fountain Hills, Arizona, 85268","14915 Eagle Mountain Pkwy, Fountain Hills, AZ 85268, USA",33.5765693,-111.759143,ROOFTOP
277,"13100 N SunRidge Dr, Fountain Hills, Arizona, 85268","13100 Sunridge Dr, Fountain Hills, AZ 85268, USA",33.60521,-111.7565251,ROOFTOP
280,"6683 S. Clubhouse Drive, Gilbert, Arizona, 85297","6683 S Clubhouse Dr, Gilbert, AZ 85298, USA",33.2274269,-111.7041741,ROOFTOP
289,"5 Miles East of Globe on Highway 70, Globe, Arizona, 85550","US-70, Globe, AZ, USA",33.3921819,-110.7655029,GEOMETRIC_CENTER
290,"4877 W Cypress Way, Globe, Arizona, 85539","4877 Cypress Way, Miami, AZ 85539, USA",33.419002,-110.827452,RANGE_INTERPOLATED
291,"6100 S Kings Ranch Rd, Gold Canyon, Arizona, 85218","6100 S Kings Ranch Rd, Gold Canyon, AZ 85118, USA",33.3624871,-111.445345,ROOFTOP
292,"7151 E US Highway 60, Gold Canyon, Arizona, 85218","7151 US-60, Apache Junction, AZ 85118, USA",33.3554335,-111.4709865,ROOFTOP
294,"6100 S Kings Ranch Rd, Gold Canyon, Arizona, 85218","6100 S Kings Ranch Rd, Gold Canyon, AZ 85118, USA",33.3624871,-111.445345,ROOFTOP
295,"3645 Clubhouse Dr, Goodyear, Arizona, 85338","3645 Clubhouse Dr, Goodyear, AZ 85395, USA",33.486771,-112.388824,ROOFTOP
299,"16262 Clubhouse Dr, Goodyear, Arizona, 85395","16262 Clubhouse Dr, Goodyear, AZ 85395, USA",33.4812252,-112.4081285,ROOFTOP
300,"1401 W Calle Urbano, Green Valley, Arizona, 85614","1401 W Camino Urbano, Green Valley, AZ 85622, USA",31.82675,-111.02164,ROOFTOP
301,"5800 S Camino Del Sol, Green Valley, Arizona, 85614","5800 S Camino Del Sol, Green Valley, AZ 85622, USA",31.788525,-111.033168,ROOFTOP
303,"2500 S Circulo de Las Lomas, Green Valley, Arizona, 85614","2500 S Circulo De Las Lomas, Green Valley, AZ 85622, USA",31.8349201,-111.0093583,ROOFTOP
306,"4201 S Camino Del Sol St, Green Valley, Arizona, 85614","4201 S Camino Del Sol, Green Valley, AZ 85622, USA",31.8083058,-111.0201084,ROOFTOP
309,"125 Golf Course Rd, Hayden, Arizona, 85235","Golf Course Rd, Hayden, AZ, USA",32.991327,-110.782566,GEOMETRIC_CENTER
311,"301 Airport Rd, Kearny, Arizona, 85237","301 Airport Rd, Kearny, AZ 85137, USA",33.0496876,-110.9109189,ROOFTOP
315,"1000 McCulloch Blvd N, Lake Havasu City, Arizona, 86403","1000 McCulloch Blvd N, Lake Havasu City, AZ 86403, USA",34.4685359,-114.3536428,ROOFTOP
317,"3103 London Bridge Rd., Lake Havasu City, Arizona, 86404","3103 London Bridge Rd, Lake Havasu City, AZ 86404, USA",34.5341028,-114.3683968,ROOFTOP
318,"4105 E Lake Shore Dr, Lake Montezuma, Arizona, 6342 ","4105 E Lake Shore Dr, Rimrock, AZ 86335, USA",34.6322199,-111.779689,ROOFTOP
323,"530 Peppermill Palms Blvd., Littlefield, Arizona, 86432","530 Peppermill Palms Blvd, Littlefield, AZ 86432, USA",36.8113635,-114.0356491,ROOFTOP
324,"14000 N Dove Mountain Blvd, Marana, Arizona, 85653","14000 N Dove Mountain Blvd, Marana, AZ 85658, USA",32.4624559,-111.0801482,ROOFTOP
325,"4949 W Heritage Club Blvd, Marana, Arizona, 85653","4949 W Heritage Club Blvd, Marana, AZ 85658, USA",32.4485827,-111.0706949,ROOFTOP
326,"6501 Boulder Bridge Pass, Marana, Arizona, 85658","6501 W Boulder Bridge Pass, Marana, AZ 85658, USA",32.4708243,-111.104443,ROOFTOP
327,"48456 W Hwy 238, Maricopa, Arizona, 85139","48456 AZ-238, Maricopa, AZ 85139, USA",33.079653,-112.0852921,ROOFTOP
328,"42660 West Rancho El Dorado Parkway, Maricopa, Arizona, 85239","42660 W Rancho El Dorado Pkwy, Maricopa, AZ 85239, USA",33.0757764,-112.0261108,ROOFTOP
332,"2401 S Lansing, Mesa, Arizona, 85212","2401 S Lansing, Mesa, AZ 85209, USA",33.3719017,-111.6314643,ROOFTOP
334,"1922 S 74th St, Mesa, Arizona, 85208","1922 S 74th St, Mesa, AZ 85209, USA",33.3801743,-111.6721744,ROOFTOP
348,"2250 S Buttercup St, Mesa, Arizona, 85208","2250 S Buttercup, Mesa, AZ 85209, USA",33.37439,-111.6671134,ROOFTOP
357,"62493 E Robson Cir, Oracle, Arizona, 85739","62493 E Robson Cir, Oracle, AZ 85623, USA",32.5930122,-110.9145051,ROOFTOP
359,"2209 Country Club Drive, Overgaard, Arizona, 85399","2209 Country Club Dr, Heber, AZ 85928, USA",34.3972685,-110.546918,ROOFTOP
362,"4435 W Paradise Village Pkwy, Phoenix, Arizona, 85032","4435 E Paradise Village Pkwy S, Phoenix, AZ 85032, USA",33.5951957,-111.9848993,ROOFTOP
363,"72 Emerald Canyon Dr, Parker, Arizona, 85344","Emerald Canyon Dr, Parker Strip, AZ 85344, USA",34.2250822,-114.1895077,GEOMETRIC_CENTER
364,"2581 Highway 95, Parker, Arizona, 85344","2581 AZ-95, Parker, AZ 85344, USA",34.2959158,-114.1271042,ROOFTOP
370,"16752 W State Route 74, Peoria, Arizona, 85383","16752 AZ-74, Peoria, AZ 85383, USA",33.8278151,-112.2729745,ROOFTOP
371,"12575 W. Golf Club Drive, Peoria, Arizona, 85383","12575 W Golf Club Dr, Peoria, AZ 85383, USA",33.7430592,-112.3312469,ROOFTOP
374,"12432 S 48th St, Phoenix, Arizona, 85044","12432 S 48th St, Phoenix, AZ 85044, USA",33.333493,-111.9821979,ROOFTOP
375,"24th St & E Missouri Ave, Phoenix, Arizona, 85016","E Missouri Ave & N 24th St, Phoenix, AZ 85016, USA",33.516543,-112.030116,GEOMETRIC_CENTER
390,"3505 E Union Hills Dr, Phoenix, Arizona, 85050","3505 E Union Hills Dr, Phoenix, AZ 85050, USA",33.6549789,-112.0074652,ROOFTOP
394,"9510 S 7th St, Phoenix, Arizona, 85042","9510 S 7th St, Phoenix, AZ 85042, USA",33.3604477,-112.066337,ROOFTOP
395,"6808 South 32nd Street, Phoenix, Arizona, 85042","6808 S 32nd St, Phoenix, AZ 85042, USA",33.3849401,-112.012881,ROOFTOP
404,"919 E Pima Rd, Queen Creek, Arizona, 85242","919 E Pima Rd, Queen Creek, AZ 85140, USA",33.260881,-111.556729,ROOFTOP
405,"21515 N Village Loop Dr, Queen Creek, Arizona, 85242","21515 East Village Loop Rd N, Queen Creek, AZ 85242, USA",33.2435902,-111.6180017,ROOFTOP
407,"600 N Fairway Dr, Queen Valley, Arizona, 85219","600 N Fairway Dr, Queen Valley, AZ 85118, USA",33.2993317,-111.2932425,ROOFTOP
411,"29005 N. Vista Verde Dr., Rio Verde, Arizona, 85263","28509 N W Verde River Way, Rio Verde, AZ 85263, USA",33.746212,-111.7008623,ROOFTOP
413,"4250 W. Golf Course Rd, Safford, Arizona, 85552","4250 W Golf Course Rd, Thatcher, AZ 85552, USA",32.8076342,-109.767177,RANGE_INTERPOLATED
414,"26950 N Reddington Rd, San Manuel, Arizona, 85631","26950 N Redington Rd, San Manuel, AZ 85631, USA",32.630018,-110.652686,ROOFTOP
419,"10333 E Rockaway Hills Dr, Scottsdale, Arizona, 85262","10333 E Rockaway Hills Dr, Cave Creek, AZ 85331, USA",33.857302,-111.9260008,RANGE_INTERPOLATED
420,"7600 Gainey Club Dr, Scottsdale, Arizona, 85258","7600 E Gainey Club Dr, Scottsdale, AZ 85258, USA",33.5687374,-111.9165711,ROOFTOP
423,"10333 E Rockaway Hills Dr, Scottsdale, Arizona, 85262","10333 E Rockaway Hills Dr, Cave Creek, AZ 85331, USA",33.857302,-111.9260008,RANGE_INTERPOLATED
424,"18200 East Toh Vee Circle, Fort McDowell, Arizona, 85264","18200 E Toh Vee Cir, Fort McDowell, AZ 85264, USA",33.5850514,-111.6887329,ROOFTOP
425,"10333 E Rockaway Hills Dr, Scottsdale, Arizona, 85262","10333 E Rockaway Hills Dr, Cave Creek, AZ 85331, USA",33.857302,-111.9260008,RANGE_INTERPOLATED
429,"7600 Gainey Club Dr, Scottsdale, Arizona, 85258","7600 E Gainey Club Dr, Scottsdale, AZ 85258, USA",33.5687374,-111.9165711,ROOFTOP
430,"10333 E Rockaway Hills Dr, Scottsdale, Arizona, 85262","10333 E Rockaway Hills Dr, Cave Creek, AZ 85331, USA",33.857302,-111.9260008,RANGE_INTERPOLATED
432,"7600 Gainey Club Dr, Scottsdale, Arizona, 85258","7600 E Gainey Club Dr, Scottsdale, AZ 85258, USA",33.5687374,-111.9165711,ROOFTOP
433,"9462 Legendary Ln, Scottsdale, Arizona, 85262","9462 E Legendary Ln, Scottsdale, AZ 85262, USA",33.7978977,-111.8774423,ROOFTOP
437,"10320 E Dynamite Blvd, Scottsdale, Arizona, 85255","10320 E Dynamite Blvd, Scottsdale, AZ 85262, USA",33.7462703,-111.8588148,ROOFTOP
442,"10333 E Rockaway Hills Dr, Scottsdale, Arizona, 85262","10333 E Rockaway Hills Dr, Cave Creek, AZ 85331, USA",33.857302,-111.9260008,RANGE_INTERPOLATED
444,"10320 E Dynamite Blvd, Scottsdale, Arizona, 85255","10320 E Dynamite Blvd, Scottsdale, AZ 85262, USA",33.7462703,-111.8588148,ROOFTOP
447,"10333 E Rockaway Hills Dr, Scottsdale, Arizona, 85262","10333 E Rockaway Hills Dr, Cave Creek, AZ 85331, USA",33.857302,-111.9260008,RANGE_INTERPOLATED
448,"18200 East Toh Vee Circle, Fort McDowell, Arizona, 85264","18200 E Toh Vee Cir, Fort McDowell, AZ 85264, USA",33.5850514,-111.6887329,ROOFTOP
449,"28265 N Scottsdale National Dr, Scottsdale, Arizona, 85262","29001 122nd St, Scottsdale, AZ 85262, USA",33.7486517,-111.8146405,ROOFTOP
451,"7605 E Indian Bend Rd, Scottsdale, Arizona, 85258","7605 E Indian Bend Rd, Scottsdale, AZ 85250, USA",33.5382989,-111.91622,ROOFTOP
453,"9998 E Indian Bend Rd, Scottsdale, Arizona, 85256","9998 E Indian Bend Rd, Scottsdale, AZ 85256, USA",33.5390506,-111.8582428,RANGE_INTERPOLATED
457,"27998 N. 99th Pl, Scottsdale, Arizona, 85255","27998 N 99th Pl, Scottsdale, AZ 85255, USA",33.6464022,-111.8676081,RANGE_INTERPOLATED
463,"3200 N Old Bridge Rd, Scottsdale, Arizona, 85262","N Old Bridge Rd, Scottsdale, AZ 85266, USA",33.7756817,-111.9084669,GEOMETRIC_CENTER
464,"1. N. Bison Preserve Drive, Show Low, Arizona, 85901","AZ-260 &, Bison Pkwy, Show Low, AZ 85901, USA",34.2484193,-110.0727081,GEOMETRIC_CENTER
465,"1911 Juniper Ridge Resort, Show Low, Arizona, 85901","Juniper Ridge Resort, 1911 Juniper Ridge Resort, Show Low, AZ 85901, USA",34.3588009,-110.0067901,ROOFTOP
467,"651 South Torreon Loop, Show Low, Arizona, 85901","651 Torreon Loop, Show Low, AZ 85901, USA",34.2433785,-110.0832824,ROOFTOP
469,"90 N Country Club Dr, Snowflake, Arizona, 85937","90 W Country Club Dr, Snowflake, AZ 85937, USA",34.5101346,-110.1215551,ROOFTOP
